epoch,train_accuracy,test_accuracy,training_time,inference_time
1,73.78875000000001,73.185,58.35320496559143,7.906618118286133
2,93.54375,93.38499999999999,44.01606249809265,7.428892612457275
3,97.44375,97.10499999999999,40.927730083465576,7.300315618515015
4,89.335,89.285,39.999250411987305,7.087031364440918
5,98.42375,98.265,38.33511161804199,6.871217250823975
6,97.48750000000001,97.54,37.491607666015625,7.114405155181885
7,99.74625,99.765,36.59191298484802,7.173398971557617
8,99.89875,99.895,35.892640590667725,6.869703531265259
9,99.94875,99.98,35.20245981216431,6.938497066497803
10,99.83125000000001,99.83,35.80859351158142,6.9181740283966064
11,99.965,99.97500000000001,35.38366985321045,7.103976726531982
12,99.97625,99.98,34.88547897338867,6.806161165237427
13,99.94,99.89,35.10295295715332,6.879382848739624
14,99.93375,99.925,34.551974296569824,6.801480293273926
15,99.98,100.0,34.58064866065979,6.824796676635742
