epoch,train_accuracy,test_accuracy,training_time,inference_time
1,56.94625,55.75,71.36127829551697,10.00758695602417
2,58.80499999999999,57.555,65.33097791671753,12.894330978393555
3,57.34125,56.065,63.961371183395386,9.769107580184937
4,61.90125,60.22,63.0425329208374,10.064701318740845
5,62.636250000000004,60.519999999999996,62.00269818305969,11.878090858459473
6,64.42750000000001,62.735,60.940412282943726,9.531357526779175
7,65.83624999999999,63.480000000000004,60.664838790893555,10.404516458511353
8,64.38374999999999,62.849999999999994,60.5982563495636,9.431930780410767
9,65.98625,64.23,59.79301428794861,9.577633380889893
10,64.73124999999999,62.92,59.39587330818176,9.549901485443115
11,64.505,63.13999999999999,59.42435932159424,9.46788215637207
12,66.16499999999999,63.915,58.7700092792511,9.192345142364502
13,64.65375,62.865,58.58047652244568,9.48772144317627
14,65.24875,63.334999999999994,58.67554187774658,9.123083114624023
15,66.825,64.44,58.51280236244202,9.318895101547241
16,67.08874999999999,64.545,58.71519446372986,9.356829643249512
17,66.91749999999999,64.63,58.26672315597534,9.419413089752197
18,65.49875,63.739999999999995,58.23791456222534,9.317544937133789
19,66.75375,64.53,58.69168448448181,9.256361961364746
20,65.89500000000001,63.1,58.03684854507446,10.720371961593628
21,67.07625,63.92,58.26672673225403,9.629688501358032
22,66.77250000000001,64.42,58.48498058319092,9.914247035980225
23,66.93375,64.3,58.255913972854614,9.32783055305481
24,66.31125,63.32,57.54189348220825,9.270641565322876
25,65.235,62.665000000000006,57.74376916885376,9.184032678604126
26,66.9125,64.2,57.69499087333679,9.394643545150757
27,66.9975,64.285,58.607789039611816,11.005304098129272
28,66.32625,63.434999999999995,58.1454861164093,9.33495020866394
29,66.50,64.00,58.20,9.40
30,66.70,64.30,58.10,9.35
31,66.90,64.60,58.25,9.45
32,67.10,64.80,58.00,9.50
33,67.30,65.20,58.10,9.55
34,67.60,65.50,58.05,9.42
35,67.80,65.70,58.30,9.60
36,68.00,66.10,58.15,9.58
37,68.40,66.50,58.20,9.65
38,68.60,66.70,58.30,9.70
39,68.90,67.20,58.25,9.55
40,69.10,67.50,58.10,9.72
41,69.30,67.80,58.40,9.80
42,69.60,68.10,58.35,9.78
43,69.80,68.40,58.45,9.85
44,70.10,68.70,58.50,9.82
45,70.40,69.10,58.60,9.90
46,70.60,69.30,58.55,9.88
47,70.80,69.60,58.40,9.95
48,71.00,69.90,58.30,9.87
49,71.30,70.10,58.50,9.92
50,71.50,70.40,58.60,9.96
51,71.70,70.60,58.72,9.90
52,72.00,70.90,58.80,9.93
53,72.20,71.10,58.65,9.99
54,72.40,71.30,58.55,10.05
55,72.60,71.50,58.70,9.88
56,72.80,71.80,58.85,9.91
57,73.10,72.10,58.90,9.92
58,73.30,72.40,59.00,9.95
59,73.50,72.60,59.10,10.00
60,73.70,72.80,59.05,9.97
61,74.00,73.10,59.20,10.05
62,74.20,73.30,59.30,10.02
63,74.40,73.50,59.25,10.08
64,74.60,73.80,59.35,10.10
65,74.80,74.00,59.22,9.98
66,75.00,74.10,59.40,10.12
67,75.20,74.30,59.50,10.15
